seed,prompt,ddim_steps,H,W,n_samples
893549,,,,,
531618,"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",50.0,960.0,1280.0,2.0
679666,"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",50.0,960.0,1280.0,2.0
136328,"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",50,960,1280,2
